ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal,lat,lng
55444,Rafer Lewis Johnson,M,21.0,190.0,91.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Decathlon,Silver,28.1086,-80.6627
54269,"Charles Lamont ""Charlie"" Jenkins, Sr.",M,22.0,186.0,74.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,28.1086,-80.6627
54269,"Charles Lamont ""Charlie"" Jenkins, Sr.",M,22.0,186.0,74.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres,Gold,28.1086,-80.6627
54138,"Perry Timothy ""Tim"" Jecko",M,18.0,186.0,73.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,28.1086,-80.6627
54117,"Robert Eugene ""Bob"" Jeangerard",M,24.0,190.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
50231,"William Marion ""Bill"" Hougland",M,26.0,195.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
49028,"Daniel Allen ""Dan"" Hodge",M,24.0,185.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,28.1086,-80.6627
47038,Duvall Young Hecht,M,26.0,188.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,Gold,28.1086,-80.6627
46114,"Donald de Wayne ""Don"" Harper",M,24.0,164.0,63.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Springboard,Silver,28.1086,-80.6627
45597,"Richard Dennis ""Dick"" Hanley",M,20.0,183.0,79.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,28.1086,-80.6627
44951,"Burdette Eliele ""Burdie"" Haldorson",M,22.0,206.0,102.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
44201,"Robert Allen ""Bob"" Gutowski",M,21.0,183.0,68.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Pole Vault,Silver,28.1086,-80.6627
42966,Charles Livingstone Grimes,M,21.0,200.0,99.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold,28.1086,-80.6627
41788,Fortune Everett Gordien,M,34.0,184.0,104.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Discus Throw,Silver,28.1086,-80.6627
39562,"Peter T. ""Pete"" George",M,27.0,172.0,74.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middleweight,Silver,28.1086,-80.6627
39555,"James D. ""Jim"" George",M,21.0,178.0,82.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,28.1086,-80.6627
12059,"Peter Steele ""Pete"" Blair",M,24.0,188.0,141.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,28.1086,-80.6627
77388,"Patricia Joan ""Pat"" McCormick (Keller-)",F,26.0,162.0,58.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Women's Springboard,Gold,28.1086,-80.6627
10448,"Isaac ""Ike"" Berger",M,20.0,157.0,59.5,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Gold,28.1086,-80.6627
9638,"Gregory Curtis ""Greg"" Bell",M,26.0,174.0,68.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Long Jump,Gold,28.1086,-80.6627
18222,Mary Louise Carew (-Armstrong),F,18.0,157.0,45.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,34.1141,-118.4068
18471,"William Arthur ""Bill"" Carr",M,22.0,172.0,66.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Gold,34.1141,-118.4068
18471,"William Arthur ""Bill"" Carr",M,22.0,172.0,66.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,34.1141,-118.4068
19729,Charles Chandler,M,21.0,190.0,83.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold,34.1141,-118.4068
22975,Lillian Copeland (Drossin-),F,27.0,165.0,59.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's Discus Throw,Gold,34.1141,-118.4068
28396,"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,21.0,169.0,57.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 80 metres Hurdles,Gold,34.1141,-118.4068
131711,Lorenzo Christopher Wright,M,21.0,173.0,70.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,39.8935,-83.4375
131618,George Worth,M,33.0,173.0,70.0,United States,USA,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze,39.8935,-83.4375
131330,"Wallace Perry ""Wally"" Wolf, Jr.",M,17.0,180.0,80.0,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,39.8935,-83.4375
130059,"Malvin Groston ""Mal"" Whitfield",M,23.0,185.0,76.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,39.8935,-83.4375
130059,"Malvin Groston ""Mal"" Whitfield",M,23.0,185.0,76.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 800 metres,Gold,39.8935,-83.4375
130059,"Malvin Groston ""Mal"" Whitfield",M,23.0,185.0,76.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres,Bronze,39.8935,-83.4375
119961,Wilbur Marvin Thompson,M,27.0,183.0,89.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Shot Put,Gold,39.8935,-83.4375
12056,"James Howard ""Jim"" Blair",M,22.0,183.0,76.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold,34.1141,-118.4068
114604,Willie Samuel Steele,M,25.0,180.0,73.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,Gold,39.8935,-83.4375
112269,Owen Guinn Smith,M,28.0,187.0,79.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Pole Vault,Gold,39.8935,-83.4375
110729,"Floyd Macon Simmons, Jr.",M,25.0,183.0,80.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,Bronze,39.8935,-83.4375
109034,"Stephen Andrew ""Steve"" Seymour (-Cohen)",M,27.0,185.0,87.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Javelin Throw,Silver,39.8935,-83.4375
107982,Clyde Luther Scott,M,23.0,183.0,77.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,Silver,39.8935,-83.4375
